        BT    Band20    Band21    Band22    Band23    Band24    Band25    Band26    Band27    Band28    Band29    Band31    Band32    Band33    Band34    Band35    Band36
     188.9   0.00030   0.00060   0.00057   0.00078   0.00253   0.00311   0.11164   0.17682   0.35484   0.73177   0.84375   0.84375   0.93856   0.95318   0.96215   0.97088
     189.0   0.00030   0.00060   0.00058   0.00079   0.00255   0.00314   0.11230   0.17779   0.35652   0.73445   0.84658   0.84658   0.94140   0.95600   0.96495   0.97365
     189.1   0.00030   0.00061   0.00059   0.00080   0.00258   0.00317   0.11297   0.17877   0.35819   0.73713   0.84942   0.84942   0.94425   0.95883   0.96776   0.97642
     189.2   0.00031   0.00061   0.00059   0.00081   0.00260   0.00320   0.11364   0.17974   0.35988   0.73982   0.85226   0.85226   0.94711   0.96166   0.97057   0.97920
     189.3   0.00031   0.00062   0.00060   0.00082   0.00262   0.00323   0.11431   0.18073   0.36157   0.74252   0.85511   0.85511   0.94997   0.96450   0.97338   0.98198
     189.4   0.00031   0.00063   0.00060   0.00082   0.00265   0.00326   0.11499   0.18171   0.36326   0.74523   0.85797   0.85797   0.95283   0.96734   0.97621   0.98477
     189.5   0.00032   0.00063   0.00061   0.00083   0.00267   0.00328   0.11566   0.18270   0.36496   0.74794   0.86084   0.86084   0.95571   0.97019   0.97903   0.98757
     189.6   0.00032   0.00064   0.00062   0.00084   0.00270   0.00331   0.11635   0.18370   0.36667   0.75066   0.86371   0.86371   0.95858   0.97304   0.98186   0.99037
     189.7   0.00032   0.00065   0.00062   0.00085   0.00272   0.00334   0.11703   0.18470   0.36839   0.75339   0.86658   0.86658   0.96147   0.97590   0.98470   0.99317
     189.8   0.00033   0.00065   0.00063   0.00086   0.00274   0.00337   0.11772   0.18570   0.37011   0.75613   0.86947   0.86947   0.96436   0.97877   0.98754   0.99598
     189.9   0.00033   0.00066   0.00064   0.00086   0.00277   0.00340   0.11841   0.18671   0.37183   0.75887   0.87236   0.87236   0.96725   0.98164   0.99039   0.99879
     190.0   0.00033   0.00066   0.00064   0.00087   0.00279   0.00343   0.11911   0.18772   0.37357   0.76162   0.87526   0.87526   0.97015   0.98451   0.99324   1.00161
     190.1   0.00034   0.00067   0.00065   0.00088   0.00282   0.00346   0.11981   0.18874   0.37531   0.76437   0.87816   0.87816   0.97306   0.98739   0.99610   1.00444
     190.2   0.00034   0.00068   0.00066   0.00089   0.00284   0.00349   0.12051   0.18976   0.37705   0.76714   0.88107   0.88107   0.97597   0.99028   0.99896   1.00727
     190.3   0.00034   0.00068   0.00066   0.00090   0.00287   0.00352   0.12121   0.19078   0.37880   0.76991   0.88399   0.88399   0.97888   0.99317   1.00183   1.01010
     190.4   0.00035   0.00069   0.00067   0.00091   0.00290   0.00355   0.12192   0.19181   0.38056   0.77268   0.88691   0.88691   0.98181   0.99607   1.00470   1.01294
     190.5   0.00035   0.00070   0.00068   0.00092   0.00292   0.00359   0.12264   0.19285   0.38233   0.77547   0.88984   0.88984   0.98474   0.99897   1.00758   1.01579
     190.6   0.00036   0.00071   0.00068   0.00093   0.00295   0.00362   0.12335   0.19389   0.38410   0.77826   0.89278   0.89278   0.98767   1.00188   1.01047   1.01864
     190.7   0.00036   0.00071   0.00069   0.00094   0.00297   0.00365   0.12407   0.19493   0.38588   0.78106   0.89572   0.89572   0.99061   1.00479   1.01336   1.02149
     190.8   0.00036   0.00072   0.00070   0.00094   0.00300   0.00368   0.12479   0.19598   0.38766   0.78386   0.89867   0.89867   0.99356   1.00771   1.01625   1.02435
     190.9   0.00037   0.00073   0.00070   0.00095   0.00303   0.00371   0.12552   0.19703   0.38945   0.78667   0.90163   0.90163   0.99651   1.01064   1.01915   1.02721
     191.0   0.00037   0.00073   0.00071   0.00096   0.00305   0.00375   0.12625   0.19809   0.39125   0.78949   0.90459   0.90459   0.99946   1.01357   1.02206   1.03008
     191.1   0.00037   0.00074   0.00072   0.00097   0.00308   0.00378   0.12698   0.19915   0.39305   0.79232   0.90756   0.90756   1.00243   1.01650   1.02497   1.03296
     191.2   0.00038   0.00075   0.00072   0.00098   0.00311   0.00381   0.12772   0.20021   0.39486   0.79516   0.91054   0.91054   1.00539   1.01944   1.02788   1.03584
     191.3   0.00038   0.00076   0.00073   0.00099   0.00314   0.00384   0.12846   0.20128   0.39667   0.79800   0.91352   0.91352   1.00837   1.02239   1.03080   1.03872
     191.4   0.00039   0.00076   0.00074   0.00100   0.00316   0.00388   0.12920   0.20236   0.39849   0.80085   0.91651   0.91651   1.01135   1.02534   1.03373   1.04161
     191.5   0.00039   0.00077   0.00075   0.00101   0.00319   0.00391   0.12995   0.20344   0.40032   0.80370   0.91951   0.91951   1.01433   1.02830   1.03666   1.04451
     191.6   0.00039   0.00078   0.00075   0.00102   0.00322   0.00395   0.13070   0.20452   0.40216   0.80656   0.92252   0.92252   1.01733   1.03126   1.03960   1.04741
     191.7   0.00040   0.00079   0.00076   0.00103   0.00325   0.00398   0.13145   0.20561   0.40400   0.80943   0.92553   0.92553   1.02032   1.03423   1.04254   1.05031
     191.8   0.00040   0.00079   0.00077   0.00104   0.00328   0.00401   0.13221   0.20671   0.40585   0.81231   0.92854   0.92854   1.02332   1.03720   1.04548   1.05322
     191.9   0.00041   0.00080   0.00078   0.00105   0.00331   0.00405   0.13297   0.20781   0.40770   0.81520   0.93157   0.93157   1.02633   1.04018   1.04844   1.05614
     192.0   0.00041   0.00081   0.00078   0.00106   0.00334   0.00408   0.13374   0.20891   0.40956   0.81809   0.93460   0.93460   1.02935   1.04317   1.05140   1.05906
