        BT    Band20    Band21    Band22    Band23    Band24    Band25    Band27    Band28    Band29    Band31    Band32    Band33    Band34    Band35    Band36
     190.0   0.00034   0.00069   0.00064   0.00086   0.00298   0.00360   0.11759   0.18681   0.36910   0.76060   0.87433   0.97017   0.98443   0.99283   1.00113
     190.1   0.00035   0.00070   0.00065   0.00087   0.00301   0.00363   0.11828   0.18782   0.37082   0.76336   0.87723   0.97307   0.98732   0.99569   1.00395
     190.2   0.00035   0.00070   0.00066   0.00088   0.00304   0.00367   0.11898   0.18884   0.37255   0.76612   0.88014   0.97599   0.99020   0.99856   1.00679
     190.3   0.00036   0.00071   0.00066   0.00088   0.00307   0.00370   0.11967   0.18986   0.37429   0.76889   0.88306   0.97890   0.99310   1.00143   1.00962
     190.4   0.00036   0.00072   0.00067   0.00089   0.00309   0.00373   0.12037   0.19089   0.37603   0.77166   0.88598   0.98183   0.99599   1.00430   1.01246
     190.5   0.00036   0.00072   0.00068   0.00090   0.00312   0.00376   0.12108   0.19192   0.37778   0.77445   0.88891   0.98475   0.99890   1.00718   1.01531
     190.6   0.00037   0.00073   0.00068   0.00091   0.00315   0.00380   0.12179   0.19295   0.37954   0.77724   0.89185   0.98769   1.00180   1.01007   1.01816
     190.7   0.00037   0.00074   0.00069   0.00092   0.00318   0.00383   0.12250   0.19399   0.38130   0.78003   0.89479   0.99063   1.00472   1.01296   1.02102
     190.8   0.00037   0.00075   0.00070   0.00093   0.00320   0.00386   0.12321   0.19504   0.38307   0.78284   0.89774   0.99357   1.00764   1.01585   1.02388
     190.9   0.00038   0.00075   0.00070   0.00094   0.00323   0.00390   0.12393   0.19608   0.38484   0.78565   0.90070   0.99652   1.01056   1.01875   1.02675
     191.0   0.00038   0.00076   0.00071   0.00095   0.00326   0.00393   0.12465   0.19714   0.38662   0.78847   0.90366   0.99948   1.01349   1.02166   1.02962
     191.1   0.00039   0.00077   0.00072   0.00096   0.00329   0.00396   0.12538   0.19819   0.38841   0.79129   0.90663   1.00244   1.01643   1.02457   1.03250
     191.2   0.00039   0.00078   0.00072   0.00097   0.00332   0.00400   0.12611   0.19926   0.39020   0.79412   0.90960   1.00541   1.01937   1.02749   1.03538
     191.3   0.00039   0.00078   0.00073   0.00098   0.00335   0.00403   0.12684   0.20032   0.39200   0.79696   0.91259   1.00839   1.02232   1.03041   1.03827
